[1/100] - time: 805.57, Disc loss: 1.488, Gen loss: 3.176, Con loss: 18.649, Noise loss: 8.672






[7/100] - time: 805.13, Disc loss: 0.528, Gen loss: 3.820, Con loss: 11.740, Noise loss: 0.642
[8/100] - time: 805.03, Disc loss: 0.677, Gen loss: 3.849, Con loss: 11.118, Noise loss: 0.654
[9/100] - time: 805.28, Disc loss: 0.710, Gen loss: 3.607, Con loss: 10.824, Noise loss: 0.748
[10/100] - time: 805.16, Disc loss: 0.738, Gen loss: 3.348, Con loss: 10.499, Noise loss: 0.709
[11/100] - time: 805.33, Disc loss: 0.694, Gen loss: 3.177, Con loss: 10.306, Noise loss: 0.714
[12/100] - time: 805.23, Disc loss: 0.734, Gen loss: 3.010, Con loss: 9.886, Noise loss: 0.705
[13/100] - time: 805.39, Disc loss: 0.705, Gen loss: 2.932, Con loss: 9.663, Noise loss: 0.753
[14/100] - time: 805.55, Disc loss: 0.696, Gen loss: 3.063, Con loss: 9.467, Noise loss: 0.750
[15/100] - time: 805.34, Disc loss: 0.650, Gen loss: 3.024, Con loss: 9.360, Noise loss: 0.765
[16/100] - time: 805.58, Disc loss: 0.686, Gen loss: 2.911, Con loss: 9.184, Noise loss: 0.790
[17/100] - time: 805.27, Disc loss: 0.685, Gen loss: 3.012, Con loss: 8.929, Noise loss: 0.753
[18/100] - time: 805.33, Disc loss: 0.681, Gen loss: 2.902, Con loss: 8.804, Noise loss: 0.806
[19/100] - time: 805.40, Disc loss: 0.674, Gen loss: 2.869, Con loss: 8.672, Noise loss: 0.815
[20/100] - time: 805.37, Disc loss: 0.679, Gen loss: 2.971, Con loss: 8.896, Noise loss: 0.848
[21/100] - time: 805.29, Disc loss: 0.554, Gen loss: 3.247, Con loss: 9.509, Noise loss: 0.850
[22/100] - time: 805.11, Disc loss: 0.690, Gen loss: 2.987, Con loss: 9.081, Noise loss: 0.807
[23/100] - time: 805.16, Disc loss: 0.635, Gen loss: 2.884, Con loss: 8.730, Noise loss: 0.838
[24/100] - time: 805.10, Disc loss: 0.895, Gen loss: 2.776, Con loss: 9.369, Noise loss: 0.781
[25/100] - time: 805.18, Disc loss: 0.657, Gen loss: 2.743, Con loss: 8.581, Noise loss: 0.831
[26/100] - time: 804.85, Disc loss: 0.556, Gen loss: 3.073, Con loss: 8.684, Noise loss: 0.849
[27/100] - time: 805.32, Disc loss: 0.633, Gen loss: 3.055, Con loss: 8.737, Noise loss: 0.873
[28/100] - time: 805.45, Disc loss: 0.599, Gen loss: 3.026, Con loss: 8.474, Noise loss: 0.873
[29/100] - time: 805.45, Disc loss: 0.582, Gen loss: 3.078, Con loss: 8.408, Noise loss: 0.829
[30/100] - time: 805.32, Disc loss: 0.650, Gen loss: 2.972, Con loss: 8.510, Noise loss: 0.840
[31/100] - time: 805.56, Disc loss: 0.568, Gen loss: 3.145, Con loss: 8.668, Noise loss: 0.864
[32/100] - time: 805.54, Disc loss: 0.608, Gen loss: 3.064, Con loss: 8.485, Noise loss: 0.865
[33/100] - time: 805.50, Disc loss: 0.609, Gen loss: 2.953, Con loss: 8.268, Noise loss: 0.817

